group,param_value,injection_rate,returncode,packets_received::total,average_packet_latency,average_packet_queueing_latency,average_packet_network_latency,average_hops,reception_rate_pkt
vcs-per-vnet,1,0.01,0,6287.0,15.960872,2.102275,13.858597,5.269286,0.0098234375
vcs-per-vnet,1,0.02,0,12682.0,16.443779,2.238921,14.204857,5.236319,0.019815625
vcs-per-vnet,1,0.05,0,31947.0,20.590634,3.356246,17.234388,5.246972,0.0499171875
vcs-per-vnet,1,0.1,0,44293.0,1292.478879,1257.76441,34.71447,5.092453,0.0692078125
vcs-per-vnet,1,0.15,0,44618.0,2448.605115,2413.806849,34.798265,5.066005,0.069715625
vcs-per-vnet,1,0.2,0,44258.0,3123.140291,3088.084301,35.05599,5.084685,0.069153125
vcs-per-vnet,1,0.25,0,44208.0,3482.801235,3447.730908,35.070327,5.074715,0.069075
vcs-per-vnet,1,0.3,0,43954.0,3747.918619,3712.698821,35.219798,5.069868,0.068678125
vcs-per-vnet,1,0.35,0,44039.0,3953.472399,3918.301051,35.171348,5.068485,0.0688109375
vcs-per-vnet,1,0.4,0,44149.0,4064.67168,4029.560171,35.111509,5.07674,0.0689828125
vcs-per-vnet,1,0.45,0,44172.0,4113.587884,4078.471068,35.116816,5.07172,0.06901875
vcs-per-vnet,1,0.5,0,44049.0,4249.085587,4213.89943,35.186156,5.06654,0.0688265625
vcs-per-vnet,2,0.01,0,6288.0,15.562659,2.000795,13.561864,5.269084,0.009825
vcs-per-vnet,2,0.02,0,12682.0,15.538716,2.0041,13.534616,5.236319,0.019815625
vcs-per-vnet,2,0.05,0,31964.0,15.791265,2.025404,13.765862,5.247466,0.04994375
vcs-per-vnet,2,0.1,0,63888.0,16.682335,2.118802,14.563533,5.256324,0.099825
vcs-per-vnet,2,0.15,0,95666.0,23.095468,4.486401,18.609067,5.24135,0.149478125
vcs-per-vnet,2,0.2,0,104340.0,725.728283,697.117232,28.61105,5.118392,0.16303125
vcs-per-vnet,2,0.25,0,103988.0,1361.843934,1331.966544,29.87739,5.051554,0.16248125
vcs-per-vnet,2,0.3,0,103435.0,1965.815652,1935.52024,30.295413,5.055968,0.1616171875
vcs-per-vnet,2,0.35,0,103657.0,2392.183673,2361.956617,30.227057,5.028006,0.1619640625
vcs-per-vnet,2,0.4,0,103792.0,2707.239566,2677.128767,30.110799,5.04139,0.162175
vcs-per-vnet,2,0.45,0,103649.0,2934.890312,2904.672066,30.218246,5.042721,0.1619515625
vcs-per-vnet,2,0.5,0,103480.0,3161.731755,3131.434181,30.297574,5.042955,0.1616875
vcs-per-vnet,4,0.01,0,6288.0,15.557411,2.0,13.557411,5.269084,0.009825
vcs-per-vnet,4,0.02,0,12682.0,15.510408,2.0,13.510408,5.236319,0.019815625
vcs-per-vnet,4,0.05,0,31965.0,15.605005,2.0,13.605005,5.247552,0.0499453125
vcs-per-vnet,4,0.1,0,63901.0,15.769957,2.000172,13.769785,5.256428,0.0998453125
vcs-per-vnet,4,0.15,0,95779.0,15.958321,2.000606,13.957715,5.242569,0.1496546875
vcs-per-vnet,4,0.2,0,127740.0,16.319634,2.002161,14.317473,5.252349,0.19959375
vcs-per-vnet,4,0.25,0,159725.0,16.902971,2.008709,14.894262,5.251789,0.2495703125
vcs-per-vnet,4,0.3,0,191427.0,18.500431,2.111996,16.388435,5.251088,0.2991046875
vcs-per-vnet,4,0.35,0,214266.0,202.378151,178.239613,24.138538,5.208059,0.334790625
vcs-per-vnet,4,0.4,0,216891.0,596.634683,569.587028,27.047655,5.135178,0.3388921875
vcs-per-vnet,4,0.45,0,217086.0,915.967174,887.812862,28.154312,5.087583,0.339196875
vcs-per-vnet,4,0.5,0,214983.0,1207.588344,1178.599271,28.989074,5.04765,0.3359109375
vcs-per-vnet,8,0.01,0,6288.0,15.557411,2.0,13.557411,5.269084,0.009825
vcs-per-vnet,8,0.02,0,12682.0,15.510408,2.0,13.510408,5.236319,0.019815625
vcs-per-vnet,8,0.05,0,31965.0,15.605005,2.0,13.605005,5.247552,0.0499453125
vcs-per-vnet,8,0.1,0,63901.0,15.769785,2.0,13.769785,5.256428,0.0998453125
vcs-per-vnet,8,0.15,0,95779.0,15.956608,2.0,13.956608,5.242569,0.1496546875
vcs-per-vnet,8,0.2,0,127740.0,16.304901,2.0,14.304901,5.252349,0.19959375
vcs-per-vnet,8,0.25,0,159724.0,16.814893,2.0,14.814893,5.251784,0.24956875
vcs-per-vnet,8,0.3,0,191434.0,17.774068,2.0,15.774068,5.251168,0.299115625
vcs-per-vnet,8,0.35,0,223107.0,19.784485,2.0,17.784485,5.243457,0.3486046875
vcs-per-vnet,8,0.4,0,250729.0,105.231034,70.795664,34.43537,5.232554,0.3917640625
vcs-per-vnet,8,0.45,0,252084.0,527.879068,484.312027,43.567041,5.165496,0.39388125
vcs-per-vnet,8,0.5,0,248821.0,843.522339,796.952492,46.569847,5.095105,0.3887828125
router-latency,1,0.01,0,6288.0,15.557411,2.0,13.557411,5.269084,0.009825
router-latency,1,0.02,0,12682.0,15.510408,2.0,13.510408,5.236319,0.019815625
router-latency,1,0.05,0,31965.0,15.605005,2.0,13.605005,5.247552,0.0499453125
router-latency,1,0.1,0,63901.0,15.769957,2.000172,13.769785,5.256428,0.0998453125
router-latency,1,0.15,0,95779.0,15.958321,2.000606,13.957715,5.242569,0.1496546875
router-latency,1,0.2,0,127740.0,16.319634,2.002161,14.317473,5.252349,0.19959375
router-latency,1,0.25,0,159725.0,16.902971,2.008709,14.894262,5.251789,0.2495703125
router-latency,1,0.3,0,191427.0,18.500431,2.111996,16.388435,5.251088,0.2991046875
router-latency,1,0.35,0,214266.0,202.378151,178.239613,24.138538,5.208059,0.334790625
router-latency,1,0.4,0,216891.0,596.634683,569.587028,27.047655,5.135178,0.3388921875
router-latency,1,0.45,0,217086.0,915.967174,887.812862,28.154312,5.087583,0.339196875
router-latency,1,0.5,0,214983.0,1207.588344,1178.599271,28.989074,5.04765,0.3359109375
router-latency,2,0.01,0,6282.0,21.816619,2.0,19.816619,5.266635,0.009815625
router-latency,2,0.02,0,12670.0,21.742541,2.0,19.742541,5.235201,0.019796875
router-latency,2,0.05,0,31938.0,21.848488,2.000031,19.848456,5.246759,0.049903125
router-latency,2,0.1,0,63851.0,22.041566,2.000689,20.040876,5.255924,0.0997671875
router-latency,2,0.15,0,95729.0,22.281722,2.00352,20.278202,5.24186,0.1495765625
router-latency,2,0.2,0,127657.0,22.883328,2.011398,20.87193,5.251808,0.1994640625
router-latency,2,0.25,0,159613.0,24.473082,2.132364,22.340718,5.251026,0.2493953125
router-latency,2,0.3,0,182728.0,237.12378,205.003174,32.120605,5.210997,0.2855125
router-latency,2,0.35,0,184066.0,695.860072,660.767665,35.092407,5.111786,0.287603125
router-latency,2,0.4,0,184365.0,1033.423112,997.179703,36.243408,5.061074,0.2880703125
router-latency,2,0.45,0,183288.0,1340.558891,1303.551831,37.00706,5.036565,0.2863875
router-latency,2,0.5,0,183317.0,1649.589547,1612.248188,37.34136,5.026413,0.2864328125
router-latency,4,0.01,0,6276.0,34.34608,2.0,32.34608,5.265456,0.00980625
router-latency,4,0.02,0,12651.0,34.20362,2.0,32.20362,5.232946,0.0197671875
router-latency,4,0.05,0,31896.0,34.349887,2.000345,32.349542,5.245893,0.0498375
router-latency,4,0.1,0,63768.0,34.67962,2.005379,32.674241,5.253968,0.0996375
router-latency,4,0.15,0,95600.0,35.446956,2.027395,33.419561,5.240617,0.149375
router-latency,4,0.2,0,127372.0,42.141577,3.977036,38.164542,5.249976,0.19901875
router-latency,4,0.25,0,135491.0,614.753799,562.921537,51.832262,5.132688,0.2117046875
router-latency,4,0.3,0,135722.0,1089.095423,1034.922982,54.172441,5.066172,0.212065625
router-latency,4,0.35,0,135224.0,1484.992723,1429.933318,55.059405,5.011366,0.2112875
router-latency,4,0.4,0,135485.0,1907.810437,1852.591232,55.219205,5.017847,0.2116953125
router-latency,4,0.45,0,135306.0,2232.199237,2176.884469,55.314768,5.024478,0.211415625
router-latency,4,0.5,0,134763.0,2519.352189,2463.836409,55.51578,5.015783,0.2105671875
link-width-bits,32,0.01,0,6283.0,20.599873,2.0,18.599873,5.267998,0.0098171875
link-width-bits,32,0.02,0,12671.0,20.605398,2.0,18.605398,5.236185,0.0197984375
link-width-bits,32,0.05,0,31940.0,20.953068,2.001785,18.951284,5.247484,0.04990625
link-width-bits,32,0.1,0,63846.0,22.287739,2.033236,20.254503,5.256202,0.099759375
link-width-bits,32,0.15,0,94998.0,58.440493,28.2601,30.180393,5.236158,0.148434375
link-width-bits,32,0.2,0,97521.0,901.670512,861.611314,40.059198,5.098721,0.1523765625
link-width-bits,32,0.25,0,96984.0,1529.894849,1488.07527,41.819578,5.047226,0.1515375
link-width-bits,32,0.3,0,96793.0,2097.145041,2055.081566,42.063476,5.050004,0.1512390625
link-width-bits,32,0.35,0,97241.0,2512.674623,2470.831193,41.84343,5.027657,0.1519390625
link-width-bits,32,0.4,0,97119.0,2813.046314,2771.16521,41.881105,5.03586,0.1517484375
link-width-bits,32,0.45,0,97066.0,3032.600179,2990.711042,41.889137,5.041198,0.151665625
link-width-bits,32,0.5,0,96732.0,3254.306197,3212.260493,42.045704,5.04131,0.15114375
link-width-bits,64,0.01,0,6288.0,15.557411,2.0,13.557411,5.269084,0.009825
link-width-bits,64,0.02,0,12682.0,15.510408,2.0,13.510408,5.236319,0.019815625
link-width-bits,64,0.05,0,31965.0,15.605005,2.0,13.605005,5.247552,0.0499453125
link-width-bits,64,0.1,0,63901.0,15.769957,2.000172,13.769785,5.256428,0.0998453125
link-width-bits,64,0.15,0,95779.0,15.958321,2.000606,13.957715,5.242569,0.1496546875
link-width-bits,64,0.2,0,127740.0,16.319634,2.002161,14.317473,5.252349,0.19959375
link-width-bits,64,0.25,0,159725.0,16.902971,2.008709,14.894262,5.251789,0.2495703125
link-width-bits,64,0.3,0,191427.0,18.500431,2.111996,16.388435,5.251088,0.2991046875
link-width-bits,64,0.35,0,214266.0,202.378151,178.239613,24.138538,5.208059,0.334790625
link-width-bits,64,0.4,0,216891.0,596.634683,569.587028,27.047655,5.135178,0.3388921875
link-width-bits,64,0.45,0,217086.0,915.967174,887.812862,28.154312,5.087583,0.339196875
link-width-bits,64,0.5,0,214983.0,1207.588344,1178.599271,28.989074,5.04765,0.3359109375
link-width-bits,128,0.01,0,6288.0,15.557411,2.0,13.557411,5.269084,0.009825
link-width-bits,128,0.02,0,12682.0,15.510408,2.0,13.510408,5.236319,0.019815625
link-width-bits,128,0.05,0,31965.0,15.605005,2.0,13.605005,5.247552,0.0499453125
link-width-bits,128,0.1,0,63901.0,15.769957,2.000172,13.769785,5.256428,0.0998453125
link-width-bits,128,0.15,0,95779.0,15.958321,2.000606,13.957715,5.242569,0.1496546875
link-width-bits,128,0.2,0,127740.0,16.319634,2.002161,14.317473,5.252349,0.19959375
link-width-bits,128,0.25,0,159725.0,16.902971,2.008709,14.894262,5.251789,0.2495703125
link-width-bits,128,0.3,0,191427.0,18.500431,2.111996,16.388435,5.251088,0.2991046875
link-width-bits,128,0.35,0,214266.0,202.378151,178.239613,24.138538,5.208059,0.334790625
link-width-bits,128,0.4,0,216891.0,596.634683,569.587028,27.047655,5.135178,0.3388921875
link-width-bits,128,0.45,0,217086.0,915.967174,887.812862,28.154312,5.087583,0.339196875
link-width-bits,128,0.5,0,214983.0,1207.588344,1178.599271,28.989074,5.04765,0.3359109375
link-width-bits,256,0.01,0,6288.0,15.557411,2.0,13.557411,5.269084,0.009825
link-width-bits,256,0.02,0,12682.0,15.510408,2.0,13.510408,5.236319,0.019815625
link-width-bits,256,0.05,0,31965.0,15.605005,2.0,13.605005,5.247552,0.0499453125
link-width-bits,256,0.1,0,63901.0,15.769957,2.000172,13.769785,5.256428,0.0998453125
link-width-bits,256,0.15,0,95779.0,15.958321,2.000606,13.957715,5.242569,0.1496546875
link-width-bits,256,0.2,0,127740.0,16.319634,2.002161,14.317473,5.252349,0.19959375
link-width-bits,256,0.25,0,159725.0,16.902971,2.008709,14.894262,5.251789,0.2495703125
link-width-bits,256,0.3,0,191427.0,18.500431,2.111996,16.388435,5.251088,0.2991046875
link-width-bits,256,0.35,0,214266.0,202.378151,178.239613,24.138538,5.208059,0.334790625
link-width-bits,256,0.4,0,216891.0,596.634683,569.587028,27.047655,5.135178,0.3388921875
link-width-bits,256,0.45,0,217086.0,915.967174,887.812862,28.154312,5.087583,0.339196875
link-width-bits,256,0.5,0,214983.0,1207.588344,1178.599271,28.989074,5.04765,0.3359109375
