inj_vnet,escape,rate,avg_flit_latency,avg_flit_network_latency,avg_flit_queueing_latency,avg_hops,flits_received,throughput,escaped_flits,deadlock,deadlock_type,probe_flits_received,probe_throughput,probe_avg_flit_latency,probe_avg_hops,probe_escaped_flits
-1,0,0.05,15.82953,13.829314,2.000215,4.005307,185780.0,1.8578,0.0,0,none,,,,,
-1,0,0.1,19.241582,17.229726,2.011856,4.008722,372043.0,3.72043,0.0,0,none,,,,,
-1,0,0.2,,,,,0,0.0,0,1,collapsed,105643.0,2.156,14.219201,4.003029,0.0
-1,0,0.3,,,,,0,0.0,0,1,saturated,157600.0,3.2163,13.994423,3.994023,0.0
-1,0,0.4,,,,,0,0.0,0,1,collapsed,1302.0,0.0266,31.826421,3.456989,0.0
-1,0,0.5,,,,,0,0.0,0,1,saturated,131448.0,2.6826,13.843337,4.009631,0.0
-1,0,0.7,,,,,0,0.0,0,1,collapsed,863.0,0.0176,48.614137,2.82387,0.0
-1,1,0.05,16.833894,14.833679,2.000215,4.336481,185773.0,1.85773,128164.0,0,none,,,,,
-1,1,0.1,23.499944,21.483822,2.016122,4.365073,372046.0,3.72046,261646.0,0,none,,,,,
-1,1,0.2,,,,,0,0.0,0,1,saturated,162226.0,3.3107,2301.7516,4.28321,206860.0
-1,1,0.3,,,,,0,0.0,0,1,saturated,197288.0,4.0263,2964.42035,4.29167,283387.0
-1,1,0.4,,,,,0,0.0,0,1,saturated,237955.0,4.8562,2340.963649,4.157769,248265.0
-1,1,0.5,,,,,0,0.0,0,1,saturated,192884.0,3.9364,4482.272366,4.154647,254768.0
-1,1,0.7,24566.572897,212.103011,24354.469886,4.371837,266020.0,2.6602,596133.0,0,none,,,,,
-1,2,0.05,17.564535,15.564239,2.000296,4.658144,185774.0,1.85774,255390.0,0,none,,,,,
-1,2,0.1,28.754098,26.723843,2.030255,4.698947,372038.0,3.72038,522059.0,0,none,,,,,
-1,2,0.2,,,,,0,0.0,0,1,saturated,169586.0,3.4609,2218.319749,4.456199,392529.0
-1,2,0.3,,,,,0,0.0,0,1,saturated,197970.0,4.0402,3093.218765,4.452311,496232.0
-1,2,0.4,16547.461253,190.919943,16356.541309,4.232752,327044.0,3.27044,801957.0,0,none,,,,,
-1,2,0.5,22037.964883,218.963442,21819.00144,4.215592,292989.0,2.92989,787631.0,0,none,,,,,
-1,2,0.7,29922.673387,226.854094,29695.819293,4.192945,287864.0,2.87864,773638.0,0,none,,,,,
-1,3,0.05,18.537433,16.537083,2.00035,5.011056,185774.0,1.85774,387818.0,0,none,,,,,
-1,3,0.1,55.809093,46.291745,9.517348,4.977776,371993.0,3.71993,774104.0,0,none,,,,,
-1,3,0.2,5145.687788,101.146957,5044.540831,4.673922,337527.0,3.37527,1162215.0,0,none,,,,,
-1,3,0.3,,,,,0,0.0,0,1,saturated,191882.0,3.916,4036.124717,4.419221,587741.0
-1,3,0.4,16687.323307,194.681206,16492.6421,4.287801,322177.0,3.22177,1033199.0,0,none,,,,,
-1,3,0.5,22244.032955,229.686068,22014.346887,4.278314,291487.0,2.91487,955184.0,0,none,,,,,
-1,3,0.7,29976.884516,232.818298,29744.066218,4.255241,287971.0,2.87971,930743.0,0,none,,,,,
-1,4,0.05,19.475817,17.47544,2.000377,5.312155,185773.0,1.85773,505806.0,0,none,,,,,
-1,4,0.1,2494.018329,82.679726,2411.338603,5.17137,343503.0,3.43503,960625.0,0,none,,,,,
-1,4,0.2,,,,,0,0.0,0,1,saturated,155173.0,3.1668,2396.372294,4.915855,712554.0
-1,4,0.3,13353.201301,175.336994,13177.864307,4.591963,315697.0,3.15697,1410032.0,0,none,,,,,
-1,4,0.4,17790.040121,218.106352,17571.933769,4.383537,298425.0,2.98425,1239276.0,0,none,,,,,
-1,4,0.5,22602.911799,238.341648,22364.570151,4.33528,285484.0,2.85484,1131099.0,0,none,,,,,
-1,4,0.7,29824.212402,241.885231,29582.327171,4.304043,284032.0,2.84032,1100175.0,0,none,,,,,
0,0,0.05,13.087159,11.087134,2.000025,3.992,80003.0,0.80003,0.0,0,none,,,,,
0,0,0.1,13.25178,11.251654,2.000125,4.000238,159584.0,1.59584,0.0,0,none,,,,,
0,0,0.2,13.888152,11.885466,2.002686,4.00222,319426.0,3.19426,0.0,0,none,,,,,
0,0,0.3,,,,,0,0.0,0,1,collapsed,463.0,0.0094,14.974082,3.701944,0.0
0,0,0.4,,,,,0,0.0,0,1,collapsed,336.0,0.0069,21.41369,3.639881,0.0
0,0,0.5,,,,,0,0.0,0,1,collapsed,227.0,0.0046,22.264317,3.295154,0.0
0,0,0.7,,,,,0,0.0,0,1,collapsed,193.0,0.0039,19.989637,2.968912,0.0
0,1,0.05,13.91169,11.911665,2.000025,4.325179,80002.0,0.80002,127573.0,0,none,,,,,
0,1,0.1,14.448598,12.448385,2.000213,4.344032,159584.0,1.59584,263790.0,0,none,,,,,
0,1,0.2,19.736855,17.704643,2.032213,4.17017,319410.0,3.1941,374314.0,0,none,,,,,
0,1,0.3,17854.012685,99.594706,17754.417978,4.540461,115494.0,1.15494,323401.0,0,none,,,,,
0,1,0.4,25698.321408,100.202082,25598.119326,4.563053,114602.0,1.14602,324581.0,0,none,,,,,
0,1,0.5,30116.600244,99.433117,30017.167128,4.568786,114595.0,1.14595,324439.0,0,none,,,,,
0,1,0.7,35975.579517,100.186224,35875.393293,4.547337,115227.0,1.15227,323548.0,0,none,,,,,
0,2,0.05,14.508106,12.508069,2.000037,4.664729,80001.0,0.80001,258468.0,0,none,,,,,
0,2,0.1,15.030899,13.030699,2.000201,4.702656,159583.0,1.59583,537639.0,0,none,,,,,
0,2,0.2,162.330728,27.335249,134.995479,4.376665,318280.0,3.1828,832772.0,0,none,,,,,
0,2,0.3,11348.266074,54.905598,11293.360475,4.265264,211310.0,2.1131,605203.0,0,none,,,,,
0,2,0.4,17205.424341,59.781297,17145.643044,4.290268,193514.0,1.93514,591847.0,0,none,,,,,
0,2,0.5,23291.183513,60.62667,23230.556843,4.293655,192406.0,1.92406,591341.0,0,none,,,,,
0,2,0.7,30844.014503,59.188304,30784.8262,4.283966,192301.0,1.92301,591119.0,0,none,,,,,
0,3,0.05,15.19215,13.192125,2.000025,5.020487,80000.0,0.8,393159.0,0,none,,,,,
0,3,0.1,15.615658,13.615489,2.000169,5.053502,159582.0,1.59582,805853.0,0,none,,,,,
0,3,0.2,1222.598185,27.744795,1194.85339,4.802005,309508.0,3.09508,1396513.0,0,none,,,,,
0,3,0.3,9322.69165,43.362913,9279.328737,4.337296,274201.0,2.74201,1103968.0,0,none,,,,,
0,3,0.4,13807.435305,51.01997,13756.415335,4.233425,247870.0,2.4787,989788.0,0,none,,,,,
0,3,0.5,19447.87284,53.02543,19394.84741,4.218444,243371.0,2.43371,975488.0,0,none,,,,,
0,3,0.7,28200.786745,52.748,28148.038746,4.209859,244698.0,2.44698,977031.0,0,none,,,,,
0,4,0.05,15.764837,13.764812,2.000025,5.307837,80000.0,0.8,504692.0,0,none,,,,,
0,4,0.1,16.0477,14.047543,2.000157,5.310977,159581.0,1.59581,1007218.0,0,none,,,,,
0,4,0.2,746.905728,27.324448,719.58128,5.288329,314824.0,3.14824,1979929.0,0,none,,,,,
0,4,0.3,7182.584435,39.202807,7143.381628,4.625878,297085.0,2.97085,1671573.0,0,none,,,,,
0,4,0.4,11192.319594,46.742418,11145.577176,4.398213,275046.0,2.75046,1484925.0,0,none,,,,,
0,4,0.5,15253.2587,49.927591,15203.33111,4.31905,266084.0,2.66084,1415515.0,0,none,,,,,
0,4,0.7,24553.110153,50.403349,24502.706804,4.303692,264768.0,2.64768,1404450.0,0,none,,,,,
