traffic,injection_rate,returncode,packets_injected::total,packets_received::total,flits_injected::total,flits_received::total,average_packet_latency,average_flit_latency,average_packet_queueing_latency,average_packet_network_latency,average_hops,avg_link_utilization,avg_vc_load::total,reception_rate_pkt,accepted_flits_per_node_cycle
uniform_random,0.01,0,6296.0,6288.0,6296.0,6288.0,15.557411,15.557411,2.0,13.557411,5.269084,4.5734,4.5734,0.009825,0.009825
uniform_random,0.02,0,12690.0,12682.0,12690.0,12682.0,15.510408,15.510408,2.0,13.510408,5.236319,9.1815,9.1815,0.019815625,0.019815625
uniform_random,0.05,0,32004.0,31965.0,32004.0,31965.0,15.605005,15.605005,2.0,13.605005,5.247552,23.1832,23.1832,0.0499453125,0.0499453125
uniform_random,0.1,0,64010.0,63901.0,64010.0,63901.0,15.769957,15.769957,2.000172,13.769785,5.256428,46.4129,46.4129,0.0998453125,0.0998453125
uniform_random,0.15,0,95926.0,95779.0,95926.0,95779.0,15.958321,15.958321,2.000606,13.957715,5.242569,69.4265,69.4265,0.1496546875,0.1496546875
uniform_random,0.2,0,127948.0,127740.0,127948.0,127740.0,16.319634,16.319634,2.002161,14.317473,5.252349,92.7281,92.7281,0.19959375,0.19959375
uniform_random,0.25,0,159980.0,159725.0,159980.0,159725.0,16.902971,16.902971,2.008709,14.894262,5.251789,115.9362,115.9362,0.2495703125,0.2495703125
uniform_random,0.3,0,191769.0,191427.0,191769.0,191427.0,18.500431,18.500431,2.111996,16.388435,5.251088,138.9523,138.9523,0.2991046875,0.2991046875
uniform_random,0.35,0,214791.0,214266.0,214791.0,214266.0,202.378151,202.378151,178.239613,24.138538,5.208059,154.6157,154.6157,0.334790625,0.334790625
uniform_random,0.4,0,217505.0,216891.0,217505.0,216891.0,596.634683,596.634683,569.587028,27.047655,5.135178,154.9507,154.9507,0.3388921875,0.3388921875
uniform_random,0.45,0,217713.0,217086.0,217713.0,217086.0,915.967174,915.967174,887.812862,28.154312,5.087583,154.0613,154.0613,0.339196875,0.339196875
uniform_random,0.5,0,215608.0,214983.0,215608.0,214983.0,1207.588344,1207.588344,1178.599271,28.989074,5.04765,151.7065,151.7065,0.3359109375,0.3359109375
shuffle,0.01,0,6304.0,6297.0,6304.0,6297.0,13.003811,13.003811,2.0,11.003811,3.993807,3.7761,3.7761,0.0098390625,0.0098390625
shuffle,0.02,0,12717.0,12700.0,12717.0,12700.0,13.049213,13.049213,2.0,11.049213,4.008661,7.636,7.636,0.01984375,0.01984375
shuffle,0.05,0,32023.0,31980.0,32023.0,31980.0,13.121982,13.121982,2.0,11.121982,4.013571,19.2452,19.2452,0.04996875,0.04996875
shuffle,0.1,0,63920.0,63836.0,63920.0,63836.0,13.24718,13.24718,2.000125,11.247055,4.001159,38.3374,38.3374,0.09974375,0.09974375
shuffle,0.15,0,95977.0,95836.0,95977.0,95836.0,13.558308,13.558308,2.000647,11.557661,3.995211,57.5023,57.5023,0.14974375,0.14974375
shuffle,0.2,0,127971.0,127783.0,127971.0,127783.0,14.944625,14.944625,2.0352,12.909425,3.992589,76.6361,76.6361,0.1996609375,0.1996609375
shuffle,0.25,0,150527.0,150097.0,150527.0,150097.0,284.943723,284.943723,257.306508,27.637215,3.978054,89.8469,89.8469,0.2345265625,0.2345265625
shuffle,0.3,0,158380.0,157912.0,158380.0,157912.0,691.415098,691.415098,661.80719,29.607908,3.971161,94.4181,94.4181,0.2467375,0.2467375
shuffle,0.35,0,164660.0,164121.0,164660.0,164121.0,914.215701,914.215701,883.195953,31.019748,3.953126,97.8431,97.8431,0.2564390625,0.2564390625
shuffle,0.4,0,172631.0,172058.0,172631.0,172058.0,1146.909362,1146.909362,1115.872735,31.036627,3.886288,101.4313,101.4313,0.268840625,0.268840625
shuffle,0.45,0,180498.0,179926.0,180498.0,179926.0,1317.922101,1317.922101,1287.995365,29.926737,3.825623,104.9689,104.9689,0.281134375,0.281134375
shuffle,0.5,0,188092.0,187496.0,188092.0,187496.0,1440.073036,1440.073036,1410.01416,30.058876,3.771483,108.3701,108.3701,0.2929625,0.2929625
transpose,0.01,0,6304.0,6295.0,6304.0,6295.0,15.635107,15.635107,2.0,13.635107,5.308022,4.6043,4.6043,0.0098359375,0.0098359375
transpose,0.02,0,12717.0,12697.0,12717.0,12697.0,15.581082,15.581082,2.0,13.581082,5.271481,9.2408,9.2408,0.0198390625,0.0198390625
transpose,0.05,0,32023.0,31977.0,32023.0,31977.0,15.640867,15.640867,2.0,13.640867,5.25928,23.2327,23.2327,0.0499640625,0.0499640625
transpose,0.1,0,63920.0,63832.0,63920.0,63832.0,15.90428,15.90428,2.000157,13.904123,5.239629,46.2506,46.2506,0.0997375,0.0997375
transpose,0.15,0,95048.0,94836.0,95048.0,94836.0,59.501476,59.501476,40.914115,18.587361,5.152853,67.9092,67.9092,0.14818125,0.14818125
transpose,0.2,0,115803.0,115507.0,115803.0,115507.0,219.237882,219.237882,196.18205,23.055832,4.559602,75.8505,75.8505,0.1804796875,0.1804796875
transpose,0.25,0,130293.0,129956.0,130293.0,129956.0,366.687171,366.687171,341.638439,25.048732,4.02033,78.3231,78.3231,0.20305625,0.20305625
transpose,0.3,0,140446.0,140073.0,140446.0,140073.0,559.270231,559.270231,534.114262,25.155969,3.611488,78.6893,78.6893,0.2188640625,0.2188640625
transpose,0.35,0,149219.0,148807.0,149219.0,148807.0,663.14799,663.14799,637.321309,25.826682,3.292829,78.8536,78.8536,0.2325109375,0.2325109375
transpose,0.4,0,156360.0,155931.0,156360.0,155931.0,835.592172,835.592172,810.344999,25.247173,3.077823,79.2735,79.2735,0.2436421875,0.2436421875
transpose,0.45,0,163373.0,162933.0,163373.0,162933.0,909.744134,909.744134,884.87512,24.869014,2.883529,79.6642,79.6642,0.2545828125,0.2545828125
transpose,0.5,0,170139.0,169690.0,170139.0,169690.0,937.192427,937.192427,912.346114,24.846314,2.717226,80.1408,80.1408,0.265140625,0.265140625
tornado,0.01,0,6304.0,6298.0,6304.0,6298.0,12.505081,12.505081,2.0,10.505081,3.746269,3.6202,3.6202,0.009840625,0.009840625
tornado,0.02,0,12717.0,12702.0,12717.0,12702.0,12.518422,12.518422,2.0,10.518422,3.746969,7.3035,7.3035,0.019846875,0.019846875
tornado,0.05,0,32023.0,31986.0,32023.0,31986.0,12.570531,12.570531,2.0,10.570531,3.747077,18.3925,18.3925,0.049978125,0.049978125
