pattern,rate,avg_pkt_latency,avg_flit_latency,avg_flit_network_latency,avg_flit_queueing_latency,avg_hops,avg_link_utilization,packets_received,flits_received,sim_cycles,deadlocked
uniform_random,0.02,13.025329,13.025329,11.025329,2.0,3.993864,1.90512,31782.0,31782.0,100000.0,0
uniform_random,0.05,13.087159,13.087159,11.087134,2.000025,3.992,4.79418,80003.0,80003.0,100000.0,0
uniform_random,0.1,13.25178,13.25178,11.251654,2.000125,4.000238,9.57635,159584.0,159584.0,100000.0,0
uniform_random,0.15,13.494512,13.494512,11.493806,2.000706,4.002982,14.37301,239420.0,239420.0,100000.0,0
uniform_random,0.2,13.888152,13.888152,11.885466,2.002686,4.00222,19.17403,319426.0,319426.0,100000.0,0
uniform_random,0.25,,,,,,,,,0,1
uniform_random,0.3,,,,,,,,,0,1
uniform_random,0.4,,,,,,,,,0,1
uniform_random,0.5,,,,,,,,,0,1
uniform_random,0.6,,,,,,,,,0,1
uniform_random,0.7,,,,,,,,,0,1
bit_complement,0.02,13.031251,13.031251,11.031251,2.0,4.000282,1.91243,31871.0,31871.0,100000.0,0
bit_complement,0.05,13.108634,13.108634,11.108622,2.000012,4.007634,4.8165,80168.0,80168.0,100000.0,0
bit_complement,0.1,13.248863,13.248863,11.248732,2.000131,4.001194,9.5968,159903.0,159903.0,100000.0,0
bit_complement,0.15,13.564907,13.564907,11.564082,2.000825,4.000729,14.40337,240013.0,240013.0,100000.0,0
bit_complement,0.2,14.509174,14.509174,12.492664,2.016509,4.000347,19.19512,319877.0,319877.0,100000.0,0
bit_complement,0.25,140.718123,140.718123,22.528809,118.189314,3.991488,23.92118,399210.0,399210.0,100000.0,0
bit_complement,0.3,6657.076469,6657.076469,24.422677,6632.653792,3.597231,22.38792,399939.0,399939.0,100000.0,0
bit_complement,0.4,13103.847789,13103.847789,26.560096,13077.287693,3.098032,20.39195,399951.0,399951.0,100000.0,0
bit_complement,0.5,15671.473668,15671.473668,27.970007,15643.503662,2.753782,19.01526,399955.0,399955.0,100000.0,0
bit_complement,0.6,21317.960606,21317.960606,27.992189,21289.968417,2.749954,19.00021,399959.0,399959.0,100000.0,0
bit_complement,0.7,25429.706514,25429.706514,27.992412,25401.714102,2.749904,19.00009,399958.0,399958.0,100000.0,0
bit_reverse,0.02,12.505679,12.505679,10.505679,2.0,3.740728,1.82973,31870.0,31870.0,100000.0,0
bit_reverse,0.05,12.55345,12.55345,10.553438,2.000012,3.743875,4.60511,80168.0,80168.0,100000.0,0
bit_reverse,0.1,12.663165,12.663165,10.663033,2.000131,3.751706,9.19798,159903.0,159903.0,100000.0,0
bit_reverse,0.15,12.798779,12.798779,10.798021,2.000758,3.749248,13.79989,240010.0,240010.0,100000.0,0
bit_reverse,0.2,13.038871,13.038871,11.035701,2.00317,3.749236,18.39203,319878.0,319878.0,100000.0,0
bit_reverse,0.25,13.578701,13.578701,11.559565,2.019136,3.749481,23.00754,400134.0,400134.0,100000.0,0
bit_reverse,0.3,,,,,,,,,0,1
bit_reverse,0.4,,,,,,,,,0,1
bit_reverse,0.5,,,,,,,,,0,1
bit_reverse,0.6,,,,,,,,,0,1
bit_reverse,0.7,,,,,,,,,0,1
