config,pattern,rate,avg_pkt_latency,avg_flit_latency,avg_flit_network_latency,avg_flit_queueing_latency,avg_hops,avg_link_utilization,packets_received,flits_received,sim_cycles,accepted_flits_per_node_cycle
vc1_d1,uniform_random,0.01,13.340076,13.340076,11.227457,2.112619,3.96227,0.94025,15770.0,15770.0,100000.0,0.00985625
vc1_d1,uniform_random,0.02,13.964005,13.964005,11.699799,2.264206,3.993864,1.90512,31782.0,31782.0,100000.0,0.01986375
vc1_d1,uniform_random,0.03,14.883218,14.883218,12.404209,2.479009,4.015479,2.87596,47807.0,47807.0,100000.0,0.029879375
vc1_d1,bit_complement,0.01,13.356564,13.356564,11.247656,2.108908,3.980613,0.94403,15784.0,15784.0,100000.0,0.009865
vc1_d1,bit_complement,0.02,13.952151,13.952151,11.694017,2.258134,4.000282,1.91243,31871.0,31871.0,100000.0,0.019919375
vc1_d1,bit_complement,0.03,14.873691,14.873691,12.365158,2.508533,4.003964,2.87778,47930.0,47930.0,100000.0,0.02995625
vc1_d1,bit_complement,0.04,16.553588,16.553588,13.508259,3.045329,4.006529,3.83627,63867.0,63867.0,100000.0,0.039916875
vc1_d1,bit_complement,0.05,20.891501,20.891501,15.774446,5.117056,4.007647,4.81643,80167.0,80167.0,100000.0,0.050104375
vc1_d1,bit_complement,0.075,6690.765286,6690.765286,25.441882,6665.323404,3.600538,5.59982,99977.0,99977.0,100000.0,0.062485625
vc1_d1,bit_complement,0.1,13114.681049,13114.681049,27.053927,13087.627122,3.096853,5.09668,99987.0,99987.0,100000.0,0.062491875
vc1_d1,bit_complement,0.15,21307.848653,21307.848653,27.991059,21279.857594,2.750273,4.75026,99989.0,99989.0,100000.0,0.062493125
vc1_d1,bit_complement,0.2,28489.920421,28489.920421,27.992089,28461.928332,2.750053,4.75012,99989.0,99989.0,100000.0,0.062493125
vc1_d1,bit_complement,0.25,32800.466631,32800.466631,27.993289,32772.473342,2.750013,4.75005,99989.0,99989.0,100000.0,0.062493125
vc1_d1,bit_complement,0.3,35677.674187,35677.674187,27.993079,35649.681108,2.749955,4.75004,99990.0,99990.0,100000.0,0.06249375
vc1_d1,bit_complement,0.4,39233.8862,39233.8862,27.993259,39205.89294,2.749917,4.75,99991.0,99991.0,100000.0,0.062494375
vc1_d1,bit_complement,0.5,41369.55446,41369.55446,27.993309,41341.561151,2.749897,4.74998,99991.0,99991.0,100000.0,0.062494375
vc1_d1,bit_complement,0.6,42817.219188,42817.219188,27.993179,42789.226008,2.7499,4.75002,99992.0,99992.0,100000.0,0.062495
vc1_d1,bit_complement,0.7,43859.577576,43859.577576,27.993179,43831.584397,2.7499,4.75002,99992.0,99992.0,100000.0,0.062495
vc1_d1,bit_reverse,0.01,12.770274,12.770274,10.665357,2.104916,3.731754,0.90475,15784.0,15784.0,100000.0,0.009865
vc1_d1,bit_reverse,0.02,13.19476,13.19476,10.950486,2.244274,3.740728,1.82972,31870.0,31870.0,100000.0,0.01991875
vc1_d1,bit_reverse,0.03,13.777666,13.777666,11.336087,2.441579,3.753464,2.75773,47928.0,47928.0,100000.0,0.029955
vc1_d1,bit_reverse,0.04,14.544367,14.544367,11.812339,2.732028,3.74075,3.66654,63865.0,63865.0,100000.0,0.039915625
vc1_d1,bit_reverse,0.05,15.821909,15.821909,12.599548,3.222361,3.743835,4.60498,80167.0,80167.0,100000.0,0.050104375
vc16_d1,uniform_random,0.01,12.940964,12.940964,10.940964,2.0,3.96227,0.94025,15770.0,15770.0,100000.0,0.00985625
vc16_d1,uniform_random,0.02,13.025329,13.025329,11.025329,2.0,3.993864,1.90512,31782.0,31782.0,100000.0,0.01986375
vc16_d1,uniform_random,0.03,13.087539,13.087539,11.087539,2.0,4.015479,2.87599,47807.0,47807.0,100000.0,0.029879375
vc16_d1,uniform_random,0.04,13.103422,13.103422,11.103422,2.0,4.012526,3.83099,63710.0,63710.0,100000.0,0.03981875
vc16_d1,uniform_random,0.05,13.087159,13.087159,11.087159,2.0,3.992,4.79418,80003.0,80003.0,100000.0,0.050001875
vc16_d1,uniform_random,0.075,13.179747,13.179747,11.179747,2.0,4.003371,7.1779,119557.0,119557.0,100000.0,0.074723125
vc16_d1,uniform_random,0.1,13.251485,13.251485,11.251485,2.0,4.000238,9.57635,159584.0,159584.0,100000.0,0.09974
vc16_d1,uniform_random,0.15,13.490076,13.490076,11.490076,2.0,4.002982,14.37301,239420.0,239420.0,100000.0,0.1496375
vc16_d1,uniform_random,0.2,13.852295,13.852295,11.852295,2.0,4.002216,19.17403,319427.0,319427.0,100000.0,0.199641875
vc16_d1,uniform_random,0.25,14.549234,14.549234,12.549234,2.0,4.002467,23.98813,399602.0,399602.0,100000.0,0.24975125
vc16_d1,uniform_random,0.3,16.134224,16.134224,14.134224,2.0,4.001266,28.77832,479498.0,479498.0,100000.0,0.29968625
vc16_d1,bit_complement,0.01,12.976685,12.976685,10.976685,2.0,3.980613,0.94403,15784.0,15784.0,100000.0,0.009865
vc16_d1,bit_complement,0.02,13.031251,13.031251,11.031251,2.0,4.000282,1.91243,31871.0,31871.0,100000.0,0.019919375
vc16_d1,bit_complement,0.03,13.058168,13.058168,11.058168,2.0,4.003964,2.87778,47930.0,47930.0,100000.0,0.02995625
vc16_d1,bit_complement,0.04,13.083815,13.083815,11.083815,2.0,4.006529,3.83627,63867.0,63867.0,100000.0,0.039916875
