config,pattern,rate,avg_pkt_latency,avg_flit_latency,avg_flit_network_latency,avg_flit_queueing_latency,avg_hops,packets_received,flits_received,sim_cycles,accepted_flits_per_node_cycle
vc1,uniform_random,0.01,13.340076,13.340076,11.227457,2.112619,3.96227,15770.0,15770.0,100000.0,0.00985625
vc1,uniform_random,0.02,13.964005,13.964005,11.699799,2.264206,3.993864,31782.0,31782.0,100000.0,0.01986375
vc1,uniform_random,0.03,14.883218,14.883218,12.404209,2.479009,4.015479,47807.0,47807.0,100000.0,0.029879375
vc1,bit_complement,0.01,13.356564,13.356564,11.247656,2.108908,3.980613,15784.0,15784.0,100000.0,0.009865
vc1,bit_complement,0.02,13.952151,13.952151,11.694017,2.258134,4.000282,31871.0,31871.0,100000.0,0.019919375
vc1,bit_complement,0.03,14.873691,14.873691,12.365158,2.508533,4.003964,47930.0,47930.0,100000.0,0.02995625
vc1,bit_complement,0.04,16.553588,16.553588,13.508259,3.045329,4.006529,63867.0,63867.0,100000.0,0.039916875
vc1,bit_complement,0.05,20.891501,20.891501,15.774446,5.117056,4.007647,80167.0,80167.0,100000.0,0.050104375
vc1,bit_complement,0.075,6690.765286,6690.765286,25.441882,6665.323404,3.600538,99977.0,99977.0,100000.0,0.062485625
vc1,bit_complement,0.1,13114.681049,13114.681049,27.053927,13087.627122,3.096853,99987.0,99987.0,100000.0,0.062491875
vc1,bit_complement,0.15,21307.848653,21307.848653,27.991059,21279.857594,2.750273,99989.0,99989.0,100000.0,0.062493125
vc1,bit_complement,0.2,28489.920421,28489.920421,27.992089,28461.928332,2.750053,99989.0,99989.0,100000.0,0.062493125
vc1,bit_complement,0.25,32800.466631,32800.466631,27.993289,32772.473342,2.750013,99989.0,99989.0,100000.0,0.062493125
vc1,bit_complement,0.3,35677.674187,35677.674187,27.993079,35649.681108,2.749955,99990.0,99990.0,100000.0,0.06249375
vc1,bit_complement,0.4,39233.8862,39233.8862,27.993259,39205.89294,2.749917,99991.0,99991.0,100000.0,0.062494375
vc1,bit_complement,0.5,41369.55446,41369.55446,27.993309,41341.561151,2.749897,99991.0,99991.0,100000.0,0.062494375
vc1,bit_complement,0.6,42817.219188,42817.219188,27.993179,42789.226008,2.7499,99992.0,99992.0,100000.0,0.062495
vc1,bit_complement,0.7,43859.577576,43859.577576,27.993179,43831.584397,2.7499,99992.0,99992.0,100000.0,0.062495
vc1,bit_reverse,0.01,12.770274,12.770274,10.665357,2.104916,3.731754,15784.0,15784.0,100000.0,0.009865
